SV	MA_1_R_1_1_1	MA_1_R_1_2_2	MA_1_R_1_3_3	MA_1_R_1_4_4	MA_1_R_1_5_5	MA_1_R_1_6_6	MA_1_R_1_8_7	MA_2_R_2_1_8	MA_2_R_2_2_9	MA_2_R_2_3_10	MA_2_R_2_4_11	MA_2_R_2_5_12	MA_2_R_2_6_13	MA_2_R_2_7_14	MA_2_R_2_8_15	MA_3_R_3_1_16	MA_3_R_3_2_17	MA_3_R_3_3_18	MA_3_R_3_4_19	MA_3_R_3_5_20	MA_3_R_3_6_21	MA_3_R_3_7_22	MA_3_R_3_8_23	MA_3_R_3_9_24	MA_4_R_4_1_25	MA_4_R_4_4_28	MA_4_R_4_6_30	MA_4_R_4_8_32	MA_4_R_4_9_33	MA_5_R_5_1_34	MA_5_R_5_2_35	MA_5_R_5_3_36	MA_5_R_5_4_37	MA_5_R_5_6_39	MA_5_R_5_7_40	MA_5_R_5_8_41	MA_6_R_6_1_42	MA_6_R_6_2_43	MA_6_R_6_3_44	MA_6_R_6_4_45	MA_6_R_6_5_46	MA_6_R_6_6_47	MA_6_R_6_7_48	MA_6_R_6_8_49	MW_1_R_1_3_52	MW_1_R_1_5_54	MW_1_R_1_6_55	MW_1_R_1_7_56	MW_1_R_1_8_57	MW_2_R_2_1_58	MW_2_R_2_2_59	MW_2_R_2_3_60	MW_2_R_2_4_61	MW_2_R_2_5_62	MW_2_R_2_6_63	MW_2_R_2_7_64	MW_2_R_2_8_65	MW_3_R_3_1_66	MW_3_R_3_2_67	MW_3_R_3_3_68	MW_3_R_3_4_69	MW_3_R_3_5_70	MW_3_R_3_6_71	MW_3_R_3_7_72	MW_3_R_3_8_73	MW_4_R_4_1_74	MW_4_R_4_2_75	MW_4_R_4_3_76	MW_4_R_4_4_77	MW_4_R_4_5_78	MW_4_R_4_6_79	MW_4_R_4_7_80	MW_4_R_4_8_81	MW_5_R_5_1_82	MW_5_R_5_2_83	MW_5_R_5_3_84	MW_5_R_5_4_85	MW_5_R_5_5_86	MW_5_R_5_6_87	MW_5_R_5_7_88	MW_5_R_5_8_89	MW_6_R_6_1_90	MW_6_R_6_2_91	MW_6_R_6_3_92	MW_6_R_6_4_93	MW_6_R_6_5_94	MW_6_R_6_6_95	MW_6_R_6_7_96	MW_6_R_6_8_97
DENOVO2193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	1	3	0	0	1	0	0	0	1	0	0	4	0	1	5	0	4	0	1	0	1	3	0	0	3
DENOVO292	3	4	10	8	8	5	5	9	1	11	3	3	5	4	8	1	2	0	3	1	1	7	5	3	3	2	0	8	5	5	3	0	0	2	0	2	3	1	9	0	0	1	4	2	3	1	2	0	8	0	0	1	2	3	0	1	4	3	8	2	3	3	2	6	4	3	0	0	3	1	2	1	2	0	1	3	2	6	7	0	8	3	4	1	8	7	1	0	8
DENOVO1294	1	0	4	7	3	1	0	2	1	2	1	0	6	0	0	1	1	0	0	2	0	1	1	3	2	0	0	5	1	0	0	0	0	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO1691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	2	0	0	0	0	0	2	0	1	2	2	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	1	2	0	0
DENOVO4683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2781	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	1	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	3	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO1804	1	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	12	0	6	0	1	0	1	0	0	0	0	0	0	4	2	0	3	1	0	1	0	0	0	0	0	0	0	7	0	0	1	0	0	0	1	2	1	0	0	0	2	1
DENOVO859	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	18	1	15	0	1	1	0	0	4	0	1	0	2	9	10	0	5	10	0	2	0	0	2	0	0	0	0	6	0	0	2	0	0	0	4	1	0	2	0	4	1	1
DENOVO964	3	4	4	0	2	1	6	2	0	5	0	0	0	0	0	3	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	16	0	3	5	1	0	0	2	0	0	0	2	0	1	0
DENOVO3353	0	0	0	0	1	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	0	0	3	1	1	0
DENOVO1770	0	2	1	1	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	2	0	0	0	3	1	0	0	0
DENOVO1535	0	0	0	1	0	0	0	1	1	0	0	2	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	4	8	1	1	13	0	3	0	2	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0
DENOVO4434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2141	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2	4	6	0	0	13	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
DENOVO1008	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	1	1	0	15	8	5	5	27	0	17	0	4	2	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1
DENOVO2146	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	2	2	0	2	1	5	0	3	2	2	0	0	2	0	2	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	6	0	3	1	0	3	0
DENOVO5010	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO3722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0
DENOVO1606	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	1	6	5	4	1	8	0	7	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DENOVO4655	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2445	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	5	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0
DENOVO546	2	3	0	3	0	0	0	3	0	2	1	5	0	4	1	2	3	3	0	5	0	2	0	2	1	3	3	2	1	0	2	0	1	3	4	1	6	2	3	1	0	0	6	0	7	0	4	8	3	0	3	0	2	3	1	3	1	4	1	1	1	0	2	4	4	0	0	0	1	1	0	0	1	2	1	11	1	8	12	6	6	0	0	1	9	3	1	3	3
DENOVO3120	0	0	0	2	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO4893	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
DENOVO4321	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0
DENOVO1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2224	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	12	0	8	8	0	0	0	1	11	0	0	0	0	1	0	1	1	0
DENOVO3770	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
DENOVO3471	0	0	0	0	0	0	0	0	0	1	3	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	3	2	2	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0
DENOVO4950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4
DENOVO3156	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	3	0	0
DENOVO563	0	2	0	0	0	0	0	0	2	2	0	0	4	1	1	1	2	1	1	1	1	0	1	3	2	5	3	6	4	0	0	0	1	0	0	2	0	1	0	0	2	4	0	1	12	4	0	7	1	5	0	13	7	8	8	5	4	2	6	1	0	0	0	6	4	1	0	1	0	2	0	0	0	2	7	0	0	1	2	2	3	1	2	1	5	2	0	2	1
DENOVO1708	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	1	2	0	0	2	0	0	0	0	0	0	5	0	0	1	0	0	2	0	0	0	2	3	0	0	2	1	1	0	0	1	1	1	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	0	0	0	0	0	1	0	0	0
DENOVO3366	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DENOVO226	1	1	4	1	1	4	2	21	3	4	11	0	12	11	1	1	0	0	0	3	3	69	23	6	1	1	0	11	2	8	0	0	1	7	0	5	0	1	5	1	1	0	3	1	7	0	3	6	0	1	2	1	2	5	2	2	0	0	0	6	9	9	2	76	52	2	1	0	0	1	0	0	0	1	4	1	2	0	0	0	0	0	2	2	4	7	0	1	2
DENOVO353	5	5	6	1	2	6	3	5	11	11	28	0	6	26	0	2	0	0	0	1	1	1	2	4	0	6	1	1	0	18	1	2	6	14	0	2	3	0	9	0	0	0	1	0	6	0	2	0	1	13	1	0	1	1	0	1	1	0	3	1	1	4	0	19	13	1	1	0	3	0	0	1	0	0	17	0	7	0	0	0	0	0	0	0	0	4	0	0	1
DENOVO630	4	7	0	1	0	0	0	2	3	5	14	0	0	15	2	1	0	0	0	0	1	0	0	3	0	0	0	0	0	3	0	0	0	7	2	0	3	2	0	0	0	0	0	1	1	0	2	12	0	7	3	0	0	0	0	1	0	2	4	0	2	2	2	9	11	0	0	0	0	0	0	1	0	1	4	0	0	1	0	0	0	0	0	0	0	2	0	0	0
DENOVO2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	7	0	1
DENOVO1924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	3	4	0	2
DENOVO853	0	0	1	0	0	1	1	4	2	0	1	0	6	1	2	0	10	3	5	3	0	21	6	13	1	1	0	0	0	3	1	1	0	0	0	2	0	1	0	0	0	0	0	0	2	1	2	3	0	1	1	0	1	0	1	0	0	0	1	3	2	3	0	5	6	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	4	0	0	0
DENOVO351	4	3	8	2	6	7	7	2	5	2	12	0	2	18	1	4	1	0	0	7	1	2	1	6	2	17	0	0	0	9	1	3	2	0	0	4	10	3	6	0	1	0	4	0	9	0	3	11	1	18	1	1	5	4	0	2	0	1	5	2	1	1	0	25	18	1	1	0	2	0	0	0	0	1	10	0	3	2	0	1	0	0	0	0	0	6	0	0	0
DENOVO2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	1	1	0	0	0	0	0	9	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
DENOVO2129	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	1	0	1	5	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	2	0	0
DENOVO1757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO4471	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
DENOVO4774	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DENOVO2903	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	3	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO3830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
DENOVO3315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DENOVO385	0	0	5	4	6	4	2	3	26	8	10	3	5	11	4	3	0	1	2	10	5	2	4	5	3	5	2	17	6	5	1	2	6	4	6	1	8	3	4	0	3	2	2	5	15	5	0	2	2	6	0	5	0	0	1	1	0	4	2	0	1	1	11	6	4	1	1	2	2	1	6	2	0	3	2	4	11	6	5	3	5	3	3	2	5	0	1	4	6
DENOVO755	1	2	1	0	1	0	0	0	2	1	1	1	2	0	1	2	1	1	1	2	0	0	1	0	1	2	2	0	1	1	0	2	4	1	1	4	0	0	0	0	1	1	0	1	6	2	1	2	1	2	2	2	2	2	10	0	5	0	0	2	0	0	2	1	1	2	0	1	2	1	0	2	3	1	7	2	0	2	0	3	1	1	0	0	0	1	2	0	4
